line,class
"Laycan:                                                 10/15 July 2017","Laycan date"
"8000/8000 sshinc","Ld rate"
"Loading Port: Marina Di Carrara , Italy.",Ports
"Discharge Port: Houston (USA)",Ports
"8000/8000 sshinc","Ld rate"
"5.0% iac",Commision
"Loading Port: Marina Di Carrara , Italy.",Ports
"Discharge Port: Houston (USA)",Ports
"Laycan 29-30 June=A0","Laycan date"
"3.75% iac",Commision
"8000/8000 sshinc","Ld rate"
"5.0% iac",Commision
"L/C 23/27 JUNE","Laycan date"
"L/D 2 TTL DAYS","Laycan date"
"GCN 3.75% IAC",Commision
"5.0% iac",Commision
"Laycan 29-30 June","Laycan date"
"3.75% iac",Commision
"5.0% iac",Commision
"Discharge Port: Kuryk, KZ **",Ports
"Laycan: 23-29 July, 2017","Laycan date"
"Loading Port: Constanta UMEX, Romania",Ports
"Discharge Port: SONGKHLA, Thailand & Busan, Korea",Ports
"Discharge Port:",Ports
"Laycan 1/13 July 2017","Laycan date"
"3-5/JULY, 2017","Laycan date"
-1-5TH/JULY,"Laycan date"
-25TH-30TH/JUNE,"Laycan date"
-15-20TH/JULY,"Laycan date"
-15-20TH/JULY,"Laycan date"
-3-7TH/JULY,"Laycan date"
-12-16TH/JULY,"Laycan date"
"29-30 June","Laycan date"
"2000 sshex / 1000 sshex","Ld rate"
"27-28 June=20","Laycan date"
"27/28 June=20","Laycan date"
"27/29 June=20","Laycan date"
"JUNE 26/28","Laycan date"
"2000 SSHINC / 1000 FSHEX","Ld rate"
"2.5% ttl comm here",Commision
"2.5% ttl comm here",Commision
"5/10 JULY","Laycan date"
"3/8 July=20","Laycan date"
"3.75% iac",Commision
"15/19 JULY","Laycan date"
"3.75% IAC",Commision
"JUNE 26/28","Laycan date"
"2000 SSHINC / 1000 FSHEX","Ld rate"
"29-30 June","Laycan date"
"2000 sshex / 1000 sshex","Ld rate"
"27-28 June","Laycan date"
"27/28 June","Laycan date"
"27/29 June","Laycan date"
"Loading Rate: 2000 MT shinc bends","Ld rate"
"2/12 Aug","Laycan date"
"10 JULY ONW ","Laycan date"
"3/8 July","Laycan date"
"3.75% iac",Commision
"1/15 July","Laycan date"
"Laycan 15 / 20 july (try 20-25th July)","Laycan date"
"3.75% iac",Commision
"Laycan at first load port Herøya July 03/06","Laycan date"
"3.75% iac",Commision
"laycan: 10th July 2.017","Laycan date"
"ldg rate: 1.500 mt pwwd sshex","Ld rate"
"disch rate: 1.500 mt pwwd sshex","Ld rate"
"gencon cp 3.75% iac",Commision
"Loading Port:                  Veracruz (Mexico)",Ports
"Discharge Ports:             Houston (USA)",Ports
"8K SSHEX/3,000MT SATPMSHEX","Ld rate"
"July 1-7","Laycan date"
"3.75% iac",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"3.75% IAC",Commision
"23-30 June","Laycan date"
"72 hrs sshinc/Liner out hook","Ld rate"
"Comm 5.0% iac",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"laycan: 10th July 2.017","Laycan date"
"ldg rate: 1.500 mt pwwd sshex","Ld rate"
"disch rate: 1.500 mt pwwd sshex","Ld rate"
"gencon cp 3.75% iac",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"shipment  1-15 july","Laycan date"
"3.75% iac",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"3.75% iac",Commision
"3.75% IAC",Commision
"23-30 June","Laycan date"
"72 hrs sshinc/Liner out hook","Ld rate"
"Comm 5.0% iac",Commision
"DISCHARGE PORT 1 SP 1 SB SAN ANTONIO and/OR VENTANAS, CHILE",Ports
"LAYCAN: 20-30/ago or 1-20/sep","Laycan date"
"LOAD RATE 7.000 MT PWWD SATPMSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC","Ld rate"
"05/10 AUG","Laycan date"
"Discharge Port: Huangpu, China + Bukpyung, S Korea",Ports
"Laycan: 28 July onwards","Laycan date"
"Laycan at first load port Herøya July 03/06","Laycan date"
"Laycan:                                16- 30 September 2017","Laycan date"
"Discharge Rate :                5,000mt per WWD SATPMSHEXEIU","Ld rate"
"3.75% iac",Commision
"15 JULY ONWARD","Laycan date"
"5-6 july,","Laycan date"
"Laycan: 24-30 Jun","Laycan date"
"3.75% iac",Commision
"8k/12k pwwd shinc","Ld rate"
"8K SSHEX/3,000MT SATPMSHEX","Ld rate"
"July 1-7","Laycan date"
"Â·l/c 3 / 9 JULY ","Laycan date"
"3.75% iac",Commision
"30 JUNE ONW","Laycan date"
"9000 SSHEX / 5000 SHINC","Ld rate"
"July 1-12","Laycan date"
"3.75% iac",Commision
"30 JUNE ONW","Laycan date"
"Quantity: Min 25.000 - Max 30.000 MT in Charterers option",Quantity
"Laycan 1/13 July 2017","Laycan date"
"Cargo : Steel scraps",Description
"Quantity : 15000mt+/-5% molcopt,  Steel scrap for melting in bulk, SF 2.0 abt wog.",Quantity
"Disch port Phu my",Ports
"Laycan: 15-20 july, try vsls date","Laycan date"
"15,000 shinc / 15,000 shinc","Ld rate"
"July 14/23, 2017","Laycan date"
"- prompt / 10 July","Laycan date"
"- 2000 WWDSHINC / liner out","Ld rate"
"10/16 JULY 2017.","Laycan date"
"3.75% IAC",Commision
"10/15 JULY","Laycan date"
"Â·l/c 3 / 9 JULY ","Laycan date"
"15 JULY ONWARD","Laycan date"
"10/16 JULY 2017.","Laycan date"
"3.75% IAC",Commision
"5-6 july,=20","Laycan date"
"10/20 July","Laycan date"
"3.75% iac",Commision
"7/14 July","Laycan date"
"28/29 JUNE IMP=20","Laycan date"
"STEM 5.0% IAC",Commision
"6/10 JULY","Laycan date"
"GC 3.75% IAC",Commision
"3.75% IAC",Commision
"L/D 7 ttl days sshex eiu be","Ld rate"
"Gcn 3.75% iac",Commision
"28/30 June","Laycan date"
"3.75% iac",Commision
"LC 1-5 July","Laycan date"
"LD 4 ttl days sshex","Ld rate"
"5.0% iac",Commision
"10 JULY ONWARD","Laycan date"
"L/D ttl days dep on size shex eiu be (abt 4 ttl days for 5000 dwcc)","Laycan date"
"10/20 July","Laycan date"
"3.75% iac",Commision
"28/29 JUNE IMP","Laycan date"
"STEM 5.0% IAC",Commision
"6/10 JULY","Laycan date"
"GC 3.75% IAC",Commision
"3.75% IAC",Commision
"L/D 7 ttl days sshex eiu be","Ld rate"
"Gcn 3.75% iac",Commision
"28/30 June","Laycan date"
"3.75% iac",Commision
"L/D ttl days dep on size shex eiu be (abt 4 ttl days for 5000 dwcc)","Laycan date"
"17/22 july","Laycan date"
"09 /20 july","Laycan date"
"Gcn 5.0% iac",Commision
"Gnc 3.75% iac",Commision
"29/30 June","Laycan date"
"2000 sshex / 1000 sshex","Ld rate"
"Gnc 3.75% iac",Commision
"27 June / 3 July","Laycan date"
"Gnc 3.75% iac",Commision
"Mid September","Laycan date"
"Gnc 3.75% iac",Commision
"29/30 June","Laycan date"
"2000 sshex / 1000 sshex","Ld rate"
"Gnc 3.75% iac",Commision
"27 June / 3 July","Laycan date"
"Gnc 3.75% iac",Commision
"19 July - 7 August","Laycan date"
"Laycan:                                                10-15 July 2017","Laycan date"
"Discharge Port: Huangpu, China + Bukpyung, S Korea",Ports
"Laycan: 28 July onwards","Laycan date"
"PPT-5 JULY","Laycan date"
"-1-10TH JULY","Laycan date"
-15-20TH/JULY,"Laycan date"
"Laycan try vsl's dates         ","Laycan date"
"Comm 1.25 pct addcom + 1.25 pct Auto Chartering     ",Commision
"July 24-28 , 2017","Laycan date"
"LAYCAN 5/10 JULY","Laycan date"
"L/C 05 / 09 JULY","Laycan date"
"Laycan try vsl's dates         ","Laycan date"
"Comm 1.25 pct addcom + 1.25 pct Auto Chartering     ",Commision
"Laycan 22-27 July 2017","Laycan date"
"Load Rate 8000 SHINC","Ld rate"
"Discharge Port Xingang, China",Ports
"Laycan 22-27 July 2017 (Durban Bulk Connections)","Laycan date"
"10/17 July","Laycan date"
"LAYCAN SPOT PPT","Laycan date"
"LAYCAN SPOT PPT ONW ","Laycan date"
"July 24-28 , 2017","Laycan date"
"5.0% iac",Commision
"2.5% ttl comm here",Commision
"July 15 onwards","Laycan date"
"Laycan 21/23 July 2017","Laycan date"
"Load Rate 8000 SHINC","Ld rate"
"Discharge Port Xingang, China",Ports
"Laycan 22-27 July 2017 (Durban Bulk Connections)","Laycan date"
"1/15 July","Laycan date"
"DISCHARGE PORT 1 SP 1 SB SAN ANTONIO and/OR VENTANAS, CHILE",Ports
"LAYCAN: 20-30/ago or 1-20/sep","Laycan date"
"LOAD RATE 7.000 MT PWWD SATPMSHEX EIU","Ld rate"
"DISCH RATE 5.000 MT PWWD SHINC","Ld rate"
"Cargo : clinker",Description
"Quantity: full capacity of the vessel as per following given port restriction",Quantity
"Laycan : Prompt","Laycan date"
"Laycan: 17-22 Jul","Laycan date"
"Laycan try vsl's dates         ","Laycan date"
"Comm 1.25 pct addcom + 1.25 pct Auto Chartering     ",Commision
"Laycan 21/23 July 2017","Laycan date"
"Load Rate 8000 SHINC","Ld rate"
"Discharge Port Xingang, China",Ports
"Laycan 22-27 July 2017 (Durban Bulk Connections)","Laycan date"
"L/C 05 / 09 JULY","Laycan date"
"- LOAD RATE: 10,000 PWWDSHINC","Ld rate"
"Loading Port - 1 SB in CHOPT out of:",Ports
"Chiba - 8,000 mt PWWD SHINC","Ld rate"
"Nagoya - 7,000 mt PWWD SHINC","Ld rate"
"Oita - 10,000 mt PWWD SHINC","Ld rate"
"Yawata - 10,000 mt PWWD SHINC","Ld rate"
"Discharging Port: 1SB in CHOPT into:",Ports
"Lugait - 5,000 mt PWWD SHINC","Ld rate"
"Mabini - 5,000 mt PWWD SHINC","Ld rate"
"Laycan - August","Laycan date"
"Commission - 3.50% total",Commision
"3/10 July","Laycan date"
"TTL WWDAYS SSHEX EIU","Ld rate"
"2,000shex / 6,000shinc","Ld rate"
"3.75% iac",Commision
01-08.July.2017,"Laycan date"
"3.75% IAC",Commision
"2.5% TTL COMM HERE",Commision
"LAYCAN Â - 10- 20 JULY ","Laycan date"
"LOAD RATE â€“ 4500 MT Â PWWD Â SAT NOON SHEX EIU","Ld rate"
"DISCH RATE â€“ 6000 MT PWWD Â FHEX EIU","Ld rate"
"COMM 2.50 PCT ADDCOM PAST US",Commision
"-End July","Laycan date"
"20 - 28 July","Laycan date"
"Disch: Rio Grande 3500 shinc","Ld rate"
"- Prompt / July","Laycan date"
"LAYCAN: 07 - 17 JULY 17<x-apple-data-detectors://0>","Laycan date"
11/15july,"Laycan date"
"1/15 July","Laycan date"
"LAYCAN : prefer after 10th July ","Laycan date"
"Laycan : prefer after 10th July ","Laycan date"
"Comm 1.25 pct addcom + 1.25 pct Auto Chartering  ",Commision
"- LOAD RATE: 10,000 PWWDSHINC","Ld rate"
"10/15 july","Laycan date"
"·Disrate 2'500 MT/day SHINC","Ld rate"
"·July 21-25, 2017","Laycan date"
"·Loadrate 3'000 MT/day SHINC","Ld rate"
"2.5% ttl comm here",Commision
"-laycan 1-10 july","Laycan date"
"-3,75% iac",Commision
"-ppt onw - july","Laycan date"
"-laycan 4/5 july","Laycan date"
"-3000 sshinc/2000 sshex","Ld rate"
"- 2500 SSHINC / 1500 FSHEX","Ld rate"
"-laycan 15/21 july","Laycan date"
"Beg August","Laycan date"
30-Jun-17,"Laycan date"
"- L/D 3000 SSHEX / 2000FHEX","Ld rate"
"6 JULY ONW ","Laycan date"
"20 - 28 July","Laycan date"
"Disch: Rio Grande 3500 shinc","Ld rate"
"LAYCAN: 07th - 15th JULY , 2017 (PLS INFORM VSL'S ITINERARY AND ETA PDM)","Laycan date"
"Loading Port:  Porto Marghera, Italy.",Ports
"Discharge Port: Dammam port , Saudi Arabia.",Ports
"8k/12k pwwd shinc","Ld rate"
"5-8 JULY 2017","Laycan date"
"9000 shinc/2500 shex","Ld rate"
"Comm 1.25% ",Commision
"Laycan: end jun -early jul 2017","Laycan date"
"Load rate: 4500mt shinc pwwd","Ld rate"
"Disch rate: 5000mt shinc pwwd","Ld rate"
"15,000 shinc / 6,000 shinc","Ld rate"
"July 20-30, 2017","Laycan date"
"·Disrate 2'500 MT/day SHINC ","Ld rate"
"·July 21-25, 2017 ","Laycan date"
"·Loadrate 3'000 MT/day SHINC ","Ld rate"
"6 JULY ONW ","Laycan date"
"-25 July / 5 Aug","Laycan date"
"22/27 JULY AUG","Laycan date"
"loading port: 1sbp bandar abbas, iran",Ports
"laycan: 10th -25th of july, 2017","Laycan date"
"loading rate: 4500mt pwwd shinc","Ld rate"
"discharging rate: 10000mt pwwd shinc","Ld rate"
"11/15 July","Laycan date"
"7 JULY ONW ","Laycan date"
"10 JULY ONW ","Laycan date"
"L/C Mid July","Laycan date"
"6000/3000 shinc","Ld rate"
"l/c 18/28 July","Laycan date"
"15,000/10,000 shinc","Ld rate"
"l/c 21/24 july","Laycan date"
"5000 / 10000 shinc bends","Ld rate"
"NOR ATDNSHINC, 12hr tt bends","Ld rate"
"4000 / 4000 shinc bends","Ld rate"
"COMM 2.5% TTL HERE",Commision
"7 JULY ONW ","Laycan date"
"10 JULY ONW ","Laycan date"
Laycan:,"Laycan date"
"25-29 July 2017","Laycan date"
"20 - 28 July","Laycan date"
"Disch: Rio Grande 3500 shinc","Ld rate"
"·Disrate 7'000 shinc ","Ld rate"
"- 14 / 17 JULY","Laycan date"
"·Disrate 7'000 shinc ","Ld rate"
"Load rate:          20,000 mt pwwd ssinc hex.","Ld rate"
"Laycan: 24th - 31st July 2017","Laycan date"
"Discharge port: Xiamen, Modern Terminal, China",Ports
"Laycan: 24th - 31st July 2017","Laycan date"
"Discharge port: Xiamen, Modern Terminal, China",Ports
"Discharge Port:",Ports
Scale/15000shinc,"Ld rate"
"1-10 aug","Laycan date"
8000shinc/12000shinc,"Ld rate"
"10-19 July","Laycan date"
"5/15 July","Laycan date"
"LAYCAN : prefer after 10th July                         ","Laycan date"
"Laycan : prefer after 10th july ","Laycan date"
"Comm 1.25 pct addcom + 1.25 pct Auto Chartering     ",Commision
"22/27 JULY AUG","Laycan date"
"L/C 12 / 16 JULY","Laycan date"
"6 JULY ONW ","Laycan date"
"5-8 JULY 2017","Laycan date"
"LC 25/31 July","Laycan date"
"BN 5.0% IAC ",Commision
"L/D RATES 500/500 ","Ld rate"
"10 JUNE ONW ","Laycan date"
"Laycan 31 July/4 Aug basis Heroya as first port","Laycan date"
"2.5% TTL COMM HERE",Commision
"Laycan: 17-24 Jul","Laycan date"
"7 JULY ONW ","Laycan date"
"10 JULY ONW ","Laycan date"
"- prompt / 15 July","Laycan date"
"- 2000 WWDSHINC / liner out","Ld rate"
"-LYCN: 15-25TH JULY","Laycan date"
"-COMM 2.5%",Commision
"L/D port: Palua, Orinoco river, Venezuela/Chittagong, Bangladesh ",Ports
"L/D rate: 6000/3000 shinc ","Ld rate"
"Laycan Mid July","Laycan date"
"Load/disrate: 15k/10k shinc","Ld rate"
"laycan 18-28 July 2017","Laycan date"
"5000 / 10000 shinc bends","Ld rate"
"NOR ATDNSHINC, 12hr tt bends","Ld rate"
"21-24 July","Laycan date"
"4000 / 4000 shinc bends","Ld rate"
"- prompt / 15 July","Laycan date"
"- 2000 WWDSHINC / liner out","Ld rate"
"loading port: 1sbp bandar abbas, iran",Ports
"laycan: 10th -25th of july, 2017","Laycan date"
"loading rate: 4500mt pwwd shinc","Ld rate"
"discharging rate: 10000mt pwwd shinc","Ld rate"
"loading port : 1sbp yeosu, korea",Ports
"disch port : 1-2sb(a) 1sp haldia, india",Ports
"load rate : cqd","Ld rate"
"laycan : 20th-30th aug 2017","Laycan date"
"DISCH RATE: CQD","Ld rate"
"LC 25/31 July","Laycan date"
"LOADING 1SB 1SP PARANAGUA EXPORT CORRIDOR","Ld rate"
"LC 15-20 July","Laycan date"
"3.75% iac",Commision
"LC 1/10 JULY","Laycan date"
"TTL COMM 3.75% IAC",Commision
"LC 10/16 JULY 2017.","Laycan date"
"3.75% IAC 2.5%",Commision
"09/12 JULY","Laycan date"
"3.75% IAC",Commision
"laycan : 18th ~ 27th jul., 2017","Laycan date"
"load rate: 8,000 wmt pwwd shex uu 12tt","Ld rate"
"disch rate : 25,000 wmt pwwd shinc 12tt","Ld rate"
"- 6,000 shinc / 2,500 fhex uu","Ld rate"
"7 JULY ONW ","Laycan date"
"10 JULY ONW ","Laycan date"
"11/14 July","Laycan date"
"11/14 July","Laycan date"
"Prompt/12 July","Laycan date"
"LC 25/29 july","Laycan date"
"2.5% ttl comm here",Commision
"15/20 july","Laycan date"
"15/20 july","Laycan date"
"2.5% TTL COMM HERE",Commision
"LC 25/29 july","Laycan date"
"2.5% ttl comm here",Commision
"2.5% TTL COMM HERE",Commision
"DISCHARGE PORT: SAN ANTONIO AND CORONEL (ABT 6.000 Mt) AND ARICA (ABT 9.000 Mt)",Ports
"LAYCAN: 1-15/AGOSTO","Laycan date"
"LOAD RATE 9000 PWWD satmshex EIU","Ld rate"
"DISCH RATE 5000 PWWD shinc for san antonio and 4000 PWWD shinc for coronel and 3500 PWWD shinc arica","Ld rate"
"DISCHARGE PORT: HAMILTON, CANADA",Ports
"LAYCAN: JULY 23RD - 27TH, 2017","Laycan date"
"LOADING RATE: 6.000 MT SHINC","Ld rate"
"DISCHARGE RATE: 7.000 MT SHINC","Ld rate"
"DISCHARGE PORT: HAMILTON, CANADA",Ports
"LAYCAN: AUGUST 01ST - 05TH, 2017","Laycan date"
"LOADING RATE: 6.000 MT SHINC","Ld rate"
"DISCHARGE RATE: 7.000 MT SHINC","Ld rate"
"19-25TH JULY","Laycan date"
"Loading Port - 1 SB in CHOPT out of:",Ports
"Chiba - 8,000 mt PWWD SHINC","Ld rate"
"Laycan - 24/30 July 2017 (to be narrowed to 5 days spread)","Laycan date"
"Commission - 3.50% total",Commision
"Loading Port - 1 SB in CHOPT out of:",Ports
"Chiba - 8,000 mt PWWD SHINC","Ld rate"
"Laycan - 24/30 July 2017 (to be narrowed to 5 days spread)","Laycan date"
"Commission - 3.50% total",Commision
"Discharge rate in Haldia : 8,000 MT PWWD SHINC.","Ld rate"
"Laycan in Longkou : 21st - 24th july, 2017.","Laycan date"
"Laycan in Qingdao : 24th - 27th july , 2017.","Laycan date"
"Laycan: prefer after 10th July","Laycan date"
"LAYCAN : prefer after 10th July                          ","Laycan date"
"Laycan : 2nd half July ","Laycan date"
"Comm 1.25 pct addcom + 1.25 pct Auto Chartering      ",Commision
"LC  21/25 July.","Laycan date"
"2.5% ttl comm here",Commision
"22/27 JULY","Laycan date"
"- 6,000 shinc / 2,500 fhex uu","Ld rate"
"·Disrate 2'500 MT/day SHINC ","Ld rate"
"·Loadrate 3'000 MT/day SHINC ","Ld rate"
"Discharge rate in Haldia : 8,000 MT PWWD SHINC.","Ld rate"
"Laycan in Longkou : 21st - 24th july, 2017.","Laycan date"
"Laycan in Qingdao : 24th - 27th july , 2017.","Laycan date"
"LC  21/25 July.","Laycan date"
"2.5% ttl comm here",Commision
"10 JULY ONW ","Laycan date"
"Cargo: Copper Cathodes",Description
"Quantity : 7000-8,000mt 2% MOLCO",Quantity
"Discharge port : Abu Dhabi(Khalifa terminal), UAE",Ports
"LayCan : prompt till 10th JULY, 2017 or 8th â€“ 14th JULY.","Laycan date"
"Laycan: 11th Ã· 16th july 2017.","Laycan date"
"DISCHARGE PORT : 1 SP 1 SA 2 SB GRESIK, INDONESIA (ARRIVAL DRAFT RESTRICTION 10.5 MTR)",Ports
"DISCHARGE RATE : 5,000 MT PWWD SHINC, 12 HOURS TURN TIME","Ld rate"
"LAYCAN : 11TH - 13TH JULY, 2017","Laycan date"
"COMM 3.75 PCT ADDCOM PAST US",Commision
"LC 11/13 aug 2017","Laycan date"
"B/N 5.0% iac",Commision
"16000 shinc / 12000 fhinc","Ld rate"
"15 â€“ 20 July","Laycan date"
"15000 shinc / 12000 fhinc","Ld rate"
"10-15 July","Laycan date"
"L/C 12 / 16 JULY","Laycan date"
"laycan:6-10th,july 5, 2017( can try laycan later to 15th,july)","Laycan date"
"l/d rate:5000/3000tm pwwd shinc ","Ld rate"
"laycan:6-10th,july","Laycan date"
"l/d rate:2000/800mt pwwd shinc ","Ld rate"
"laycan:6-10th,july","Laycan date"
"l/rate: 3000mt pwwd shinc","Ld rate"
"11/14 July","Laycan date"
"3.75% iac",Commision
"LC 15/25 July 2017","Laycan date"
"07 july ONW ","Laycan date"
"19/21 JULY","Laycan date"
"gcn 5.0% iac",Commision
"10/12 JULY","Laycan date"
"5.0% IAC",Commision
"LC 17/25 July","Laycan date"
"3.75% iac",Commision
"19/21 JULY","Laycan date"
"gcn 5.0% iac",Commision
"B/N 5.0% iac",Commision
"LAYCAN : SPOT ONWARD      ","Laycan date"
"3.75% iac",Commision
"08 JULY ONW","Laycan date"
"07 july ONW ","Laycan date"
"6/12 JULYY","Laycan date"
"GCN 3.75% IAC",Commision
"load rate: 1000t pwwd SSHEX UU","Ld rate"
"disch rate: 1100 pwwd SSHEX UU for Tripoli and 1300 pwwd SSHEX UU for Haifa","Ld rate"
"l/d: 1500t pwwd SSHEX UU/ 1100 SSHEX UU","Laycan date"
"L/CAN 20-30 JULY 17","Laycan date"
"LOADING 1SB 1SP PARANAGUA EXPORT CORRIDOR","Ld rate"
"LOADING 1SB 1SP SANTOS","Ld rate"
"LOADING 1SB 1SP PARANAGUA EXPORT CORRIDOR","Ld rate"
"14-23/JULY, 2017","Laycan date"
"1/10 aug","Laycan date"
"LAYCAN : SPOT ONWARD       ","Laycan date"
"Laycan: Mid july","Laycan date"
"Laycan : 2nd half July ","Laycan date"
"Comm 1.25 pct addcom + 1.25 pct Auto Chartering       ",Commision
"LC 17/25 July","Laycan date"
"3.75% iac",Commision
"LC 20 July / onw","Laycan date"
"2.5% ttl comm here",Commision
"6/12 JULYY","Laycan date"
"GCN 3.75% IAC",Commision
"3.75% iac",Commision
"15/19 july","Laycan date"
"10000 shinc / 3500 shex uu","Ld rate"
"3.75% iac",Commision
"07 july ONW ","Laycan date"
"2.5% ttl comm here",Commision
"LC 21-25 July","Laycan date"
"3.75% iac",Commision
"-    TTL 5.0% IAC",Commision
"LC 20 July / onw","Laycan date"
"2.5% ttl comm here",Commision
"2.5% ttl comm here",Commision
"end july","Laycan date"
"5.0% iac",Commision
"end july","Laycan date"
"5.0% iac",Commision
"laycan: spot onwards","Laycan date"
"l/d: cqd","Laycan date"
"5.0% iac",Commision
"15/19 july","Laycan date"
"10000 shinc / 3500 shex uu","Ld rate"
"3.75% iac",Commision
"laycan : 18th ~ 27th jul., 2017","Laycan date"
"load rate: 8,000 wmt pwwd shex uu 12tt","Ld rate"
"disch rate : 25,000 wmt pwwd shinc 12tt","Ld rate"
"laycan : 25th  jul ~ 05th aug., 2017","Laycan date"
"load rate: 40,640 wmt pwwd shinc 12tt","Ld rate"
"disch rate : 45,000 wmt pwwd shinc 12tt","Ld rate"
"-    TTL 5.0% IAC",Commision
"22/27 JULY","Laycan date"
"18 / 24 july","Laycan date"
"12000 shinc/13500 shinc","Ld rate"
"Discharge Port                   :               Nacala Port, Mozambique",Ports
"Discharge rate                    :               3500 MT PWWD SHINC","Ld rate"
"Comm                                    :               3,75 % Total",Commision
"Mid / End July","Laycan date"
"10-16 JULY","Laycan date"
"2500 MTS PWWD SHINC / CQD","Ld rate"
"5 TTD SSHEXEIU","Ld rate"
"22/30 JULY","Laycan date"
"GCN 3.75% IAC",Commision
"3.75% iac",Commision
"20/27 july","Laycan date"
"10,000 fhex / 7,000 shinc  ","Ld rate"
"July 19/21 , 2017 ","Laycan date"
"September load","Laycan date"
"8000 shinc load","Ld rate"
"15/20 Aug","Laycan date"
"Gnc 3.75% iac",Commision
"17 JULY ONW ","Laycan date"
"07 july ONW ","Laycan date"
"laycan 13-15/07=20","Laycan date"
"l/d 1000/800  ex eiu bends","Laycan date"
"3.75% iac",Commision
"Lc 1-15 August 2017","Laycan date"
"5 TTD SSHEXEIU","Ld rate"
"22/30 JULY","Laycan date"
"GCN 3.75% IAC",Commision
"3.75% iac",Commision
"L/c 14/20 July","Laycan date"
"LC 15/20 July=20","Laycan date"
"3.75% iac",Commision
"LC 15/20 July","Laycan date"
"14-18 JULY","Laycan date"
"28 JUN-7AUG","Laycan date"
"L/d port:zhenjiang,china/kohsichang,thailand",Ports
"Laycan:ppt-15th.,july","Laycan date"
"L/d rate:4000/3000 shex uu","Ld rate"
"27th/31st july ","Laycan date"
"Laycan: end of july, 2017","Laycan date"
"5,000/2,000 mt pwwd shinc","Ld rate"
"Laycan prompt","Laycan date"
"Laycan  : 27th â€“ 30th july, 2017","Laycan date"
"5000/3000tm pwwd shinc ","Ld rate"
"l/d rate: 625mt per crane per day shex uu/3500mt shinc","Ld rate"
"9000 shinc/2500 shex","Ld rate"
"comm 1.25% ",Commision
"laycan: 10-15th jul 2017","Laycan date"
"load rate: 4500mt shinc pwwd","Ld rate"
"disch rate: 5000mt shinc pwwd","Ld rate"
"laycan: ppt/ jul","Laycan date"
"Laycan 20 â€“ 24 july 2017","Laycan date"
"Laycan : 10-14 july","Laycan date"
"Laycan  : 23-27  july","Laycan date"
"Laycan : 14-17 july","Laycan date"
"jul 27/aug 2","Laycan date"
"5,000/3,000 shinc bends","Ld rate"
"Laycan: 6 - 13 August","Laycan date"
"Discharge port: Antwerp, - KN Terminal Antwerp, Belgium (Quay 1227 Kallo)",Ports
"Laycan:                               1st -31st August 2017 2017 (Both dates included)","Laycan date"
"Discharge Rate :                 8,000mt PWWD SATSHEXEIU","Ld rate"
"Laycan: Mid july","Laycan date"
"Laycan : 2nd half July ","Laycan date"
"Comm 1.25 pct addcom + 1.25 pct Auto Chartering        ",Commision
"17 JULY ONW ","Laycan date"
"L/C 12 / 16 JULY","Laycan date"
"12 JULY ONW ","Laycan date"
"Laycan 15-19 July basis Klaipeda as first port","Laycan date"
"3000 sshex eiu be","Ld rate"
"L/C 5/10 AUG","Laycan date"
"Laycan 23-25 July 2017","Laycan date"
"Load Rate 10'000 SHINC","Ld rate"
"Discharge Port Xingang, China",Ports
"Quantity is 42'500 - 52'000 MT in Charterer's option.",Quantity
"Laycan 23-25 July 2017","Laycan date"
"LOADING 1SB 1SP PARANAGUA EXPORT CORRIDOR","Ld rate"
"LOADING 1SB 1SP SANTOS","Ld rate"
"LOADING 1SB 1SP PARANAGUA EXPORT CORRIDOR","Ld rate"
"LAYCAN 15-17TH JUL","Laycan date"
"Laycan 15-19 July 23-25 July basis Klaipeda as first port","Laycan date"
"17-20July 2017","Laycan date"
"7000 sshinc / 4000 sshex","Ld rate"
"End August/beg sept","Laycan date"
"Tons ===>",Quantity
"LAYCAN: RIO: 19TH ~ 22TH JULY, 2016","Laycan date"
"DISCHARGE PORTS: ONE OWNER'S BERTH AT VALPARAISO, CHILE",Ports
"10,000 fhex / 7,000 shinc","Ld rate"
"July 19/21 , 2017","Laycan date"
"LAYCAN 15-17TH JUL","Laycan date"
"Laycan 23-25 July 2017","Laycan date"
"Load Rate 10'000 SHINC","Ld rate"
"Discharge Port Xingang, China",Ports
"Quantity is 42'500 - 52'000 MT in Charterer's option.",Quantity
"Laycan 23-25 July 2017","Laycan date"
"- L/D 20000 / 7000 shinc","Ld rate"
"3.75% iac",Commision
"3.75% iac",Commision
"19/21 JULY","Laycan date"
"3.75% iac",Commision
"LOADING 1SB 1SP SANTOS","Ld rate"
"11/14 July","Laycan date"
"Prompt/28 July","Laycan date"
"19/21 JULY","Laycan date"
"3.75% iac",Commision
"L/C 17-20 JULY 2017","Laycan date"
"2.5% TTL COMM HERE",Commision
"5.0% IAC",Commision
"13-16 july","Laycan date"
1000/1000,"Ld rate"
"3.75% iac",Commision
"- 23 / 26 July","Laycan date"
"- 2000 WWWDSHINC / liner out","Ld rate"
"- 28 / 31 July","Laycan date"
